City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,nogliki,51.8333,143.1667,10.94,91,38,4.25,RU,1737866597
338,terme,41.2092,36.9739,48.47,90,100,2.44,TR,1737866598
339,huilong,31.8111,121.655,40.93,92,100,12.19,CN,1737866599
340,minot air force base,48.4209,-101.3391,14.18,67,0,24.16,US,1737866600
341,ciudad acuna,29.3232,-100.9522,55.69,55,0,6.91,MX,1737866601
342,leua,48.2156,18.6071,40.68,80,100,15.28,SK,1737866603
343,flying fish cove,-10.4217,105.6791,85.68,79,20,6.91,CX,1737866604
344,necochea,-38.5473,-58.7368,57.72,85,1,4.54,AR,1737866605
345,kosh-agach,50.0,88.6667,-12.5,84,67,1.57,RU,1737866606
346,saint-pierre,-21.3393,55.4781,85.68,62,0,5.75,RE,1737866607
347,island harbour,50.724,-1.2758,44.98,81,19,10.0,GB,1737866608
348,remire-montjoly,4.9167,-52.2667,75.24,100,0,2.3,GF,1737866610
349,bang saphan,11.2126,99.5117,86.56,53,40,7.14,TH,1737866611
350,leksand,60.7339,15.0032,35.11,79,100,14.41,SE,1737866612
351,rongelap,11.1635,166.8941,79.72,76,45,18.81,MH,1737866613
352,newman,37.3138,-121.0208,45.03,85,97,3.6,US,1737866614
353,majene,-3.5403,118.9707,81.41,78,100,4.45,ID,1737866616
354,pacocha,-17.5833,-71.3333,70.38,87,100,2.93,PE,1737866617
355,kalmunai,7.4167,81.8167,81.01,77,71,15.99,LK,1737866618
356,malango,-2.9627,119.9001,77.81,83,100,2.46,ID,1737866619
357,lhasa,29.65,91.1,32.56,15,0,3.47,CN,1737866620
358,queenstown,-31.8976,26.8753,72.43,62,0,1.95,ZA,1737866623
359,poronaysk,49.2167,143.1167,15.4,83,21,1.97,RU,1737866624
360,cascais,38.6979,-9.4215,59.5,70,100,8.01,PT,1737866625
361,las khorey,11.1595,48.1967,73.87,61,23,4.79,SO,1737866626
362,new washington,11.6508,122.4322,80.13,86,85,10.09,PH,1737866627
363,ciudad lazaro cardenas,17.9583,-102.2,75.6,89,1,2.64,MX,1737866630
364,chauk,20.8833,94.8167,80.47,35,22,7.47,MM,1737866631
